year,amount
1920,100
1921,89.5
1922,84
1923,85.5
1924,85.5
1925,87.5
1926,88.5
1927,87
1928,85.5
1929,85.5
1930,83.5
1931,76
1932,68.5
1933,65
1934,67
1935,68.5
1936,69.5
1937,72
1938,70.5
1939,69.5
1940,70
1941,73.5
1942,81.5
1943,86.5
1944,88
1945,90
1946,97.5
1947,111.5
1948,120.5
1949,119
1950,120.5
1951,130
1952,132.5
1953,133.5
1954,134.5
1955,134
1956,136
1957,140.5
1958,144.5
1959,145.5
1960,148
1961,149.5
1962,151
1963,153
1964,155
1965,157.5
1966,162
1967,167
1968,174
1969,183.5
1970,194
1971,202.5
1972,209
1973,222
1974,246.5
1975,269
1976,284.5
1977,303
1978,326
1979,363
1980,412
1981,454.5
1982,482.5
1983,498
1984,519.5
1985,538
1986,548
1987,568
1988,591.5
1989,620
1990,653.5
1991,681
1992,701.5
1993,722.5
1994,741
1995,762
1996,784.5
1997,802.5
1998,815
1999,833
2000,861
2001,885.5
2002,899.5
2003,920
2004,944.5
2005,976.5
2006,1008
2007,1036.71
2008,1076.52
2009,1072.69
2010,1090.28
2011,1124.69
2012,1147.97
2013,1164.79
2014,1183.68
2015,1185.09
2016,1200.04
2017,1225.6
2018,1256.15
2019,1278.29
2020,1294.06
2021,1335.27
